TIC 500, version 3.230, S/N 831
, , , , W, W, V, V, V, K, , , , ,
4K, 1K, Cryostat, ENTROPY, HOben, HUnten, R1, R2, AIO3, AIO4, DIO, Relays, V1, V2, V3
02.08.2016 13:50:13,0.551677, 0.555868, 126028.3, 3804.606, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.980232e-6, 3.515625, 0.000000
02.08.2016 13:50:23,0.551706, 0.555869, 126035.1, 3791.927, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.980232e-6, 9.765625, 0.000000
02.08.2016 13:50:33,0.551741, 0.555868, 125943.9, 3794.016, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 2.980232e-6, -8.593750, 0.000000
02.08.2016 13:50:43,0.551782, 0.555869, 125801.7, 3793.443, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-6, -24.60937, 0.000000
02.08.2016 13:50:54,0.551836, 0.555868, 125759.5, 3791.718, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-6, -16.79687, 0.000000
02.08.2016 13:51:03,0.551887, 0.555869, 125784.8, 3786.589, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-6, 10.54687, 0.000000
02.08.2016 13:51:13,0.551951, 0.555869, 125736.5, 3791.314, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.960464e-6, -4.687500, 0.000000
02.08.2016 13:51:23,0.552023, 0.555870, 125852.6, 3794.174, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 8.940695e-6, 16.40625, 0.000000
02.08.2016 13:51:33,0.552103, 0.555871, 125961.6, 3785.314, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 8.940695e-6, 48.82812, 0.000000
02.08.2016 13:51:43,0.552191, 0.555872, 125881.4, 3788.031, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 8.940695e-6, -12.89062, 0.000000
02.08.2016 13:51:54,0.552298, 0.555871, 125857.0, 3796.529, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 1.192093e-5, -6.640625, 0.000000
02.08.2016 13:52:03,0.552393, 0.555873, 125841.6, 3799.374, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 1.192093e-5, -20.70312, 0.000000
